Stamp,ID
5115110185W21271500001,"null	"
5115110185W21271500002,"195713070097395	"
5115110185W21271500003,"197912093240728	"
5115110185W21271500004,"null	"
5115110185W21271500005,"null	"
5115110185W21271500006,"null	"
5115110185W21271500007,"194613558309757	"
5115110185W21271500008,"null	"
5115110185W21271500009,"181419419122841	"
5115110185W21271500010,"null	"
5115110185W21271500011,"194613558302939	"
5115110185W21271500012,"193514046673039	"
5115110185W21271500013,"null	"
5115110185W21271500014,"189116000529857	"
5115110185W21271500015,"177021372721352	"
5115110185W22181400001,"null	"
5115110185W22181400002,"null	"
5115110185W22181400003,"null	"
5115110185W22181400004,"186916977435788	"
5115110185W22181400005,"null	"
5115110185W22181400006,"184717954188181	"
5115110185W22181400007,"null	"
5115110185W22181400008,"null	"
5115110185W22181400009,"null	"
5115110185W22181400010,"null	"
5115110185W22181400011,"null	"
5115110185W22181400012,"null	"
5115110185W22181400013,"null	"
5115110185W22181400014,"null	"
5115110185W22181400015,"null	"
5115110185W22181400016,"null	"
5115110185W22181400017,"null	"
5115110185W22181400018,"182518930938713	"
5115110185W22181400019,"null	"
5115110185W22181400020,"null	"
5115110185W22181400021,"null	"
5115110185W22181400022,"null	"
5115110185W22181400023,"null	"
5115110185W22181400024,"null	"
5115110185W22181400025,"null	"
5115110185W22181400026,"null	"
5115110185W22181400027,"192414535464927	"
5115110185W22181400028,"null	"
5115110185W22181400029,"null	"
5115110185W22181400030,"190215512260159	"
5115110185W22181400031,"null	"
5115110185W22181400032,"197912093456257	"
5115110185W22181400033,"null	"
5115110185W22181400034,"null	"
5115110185W22181400035,"null	"
5115110185W22181400036,"null	"
5115110185W22181400037,"null	"
5115110185W22181400038,"null	"
5115110185W22181400039,"null	"
5115110185W22181400040,"null	"
5115110185W22181400041,"null	"
5115110185W22181400042,"null	"
5115110185W22181400043,"null	"
5115110185W22181400044,"null	"
5115110185W22181400045,"null	"
5115110185W22181400046,"null	"
5115110185W22181400047,"null	"
5115110185W22181400048,"175921861068705	"
5115110185W22181400049,"null	"
5115110185W22181400050,"null	"
5115110185W22181400051,"null	"
5115110185W22181400052,"null	"
5115110185W22181400053,"null	"
5115110185W22181400054,"184717954134046	"
5115110185W22181400055,"null	"
5115110185W22181400056,"null	"
5115110185W22181400057,"null	"
5115110185W22181400058,"null	"
5115110185W22181400059,"196812581769692	"
5115110185W22181400060,"null	"
5115110185W22181400061,"null	"
5115110185W22181400062,"null	"
5115110185W22181400063,"177021372721759	"
5115110185W22181400064,"null	"
5115110185W22181400065,"null	"
5115110185W22181400066,"null	"
5115110185W22181400067,"null	"
5115110185W22181400068,"null	"
5115110185W22181400069,"null	"
5115110185W22181400070,"null	"
5115110185W22181400071,"null	"
5115110185W22181400072,"null	"
5115110185W22181400073,"null	"
5115110185W22181400074,"null	"
5115110185W22181400075,"null	"
5115110185W22181400076,"null	"
5115110185W22181400077,"null	"
5115110185W22181400078,"null	"
5115110185W22181400079,"null	"
5115110185W22181400080,"null	"
5115110185W22181400081,"null	"
5115110185W22181400082,"null	"
5115110185W22181400083,"null	"
5115110185W22181400084,"null	"
5115110185W22181400085,"null	"
5115110185W22181400086,"null	"
5115110185W22181400087,"null	"
5115110185W22181400088,"null	"
5115110185W22181400089,"null	"
5115110185W22181400090,"null	"
5115110185W22181400091,"null	"
5115110185W22181400092,"null	"
5115110185W22181400093,"null	"
5115110185W22181400094,"null	"
5115110185W22181400095,"null	"
5115110185W22181400096,"null	"
5115110185W22181400097,"null	"
5115110185W22181400098,"null	"
5115110185W22181400099,"null	"
5115110185W22181400100,"null	"
5115110185W22181400101,"null	"
5115110185W22181400102,"188016489100699	"
5115110185W22181400103,"null	"
5115110185W22181400104,"null	"
5115110185W22181400105,"178120884386569	"
5115110185W22181400106,"null	"
5115110185W22181400107,"null	"
5115110185W22181400108,"null	"
5115110185W22181400109,"null	"
5115110185W22181400110,"183618442567110	"
5115110185W22181400111,"193514046890075	"
5115110185W22181400112,"null	"
5115110185W22181400113,"186916977454297	"
5115110185W22181400114,"null	"
5115110185W22181400115,"null	"
5115110185W22181400116,"null	"
5115110185W22181400117,"192414535520473	"
5115110185W22181400118,"null	"
5115110185W22181400119,"null	"
5115110185W22181400120,"null	"
5115110185W22181400121,"null	"
5115110185W22181400122,"188016489004132	"
5115110185W22181400123,"178120884331837	"
5115110185W22181400124,"null	"
5115110185W22181400125,"null	"
5115110185W22181400126,"186916977458420	"
5115110185W22181400127,"null	"
5115110185W22181400128,"null	"
5115110185W22181400129,"null	"
5115110185W22181400130,"null	"
5115110185W22181400131,"null	"
5115110185W22181400132,"null	"
5115110185W22181400133,"null	"
5115110185W22181400134,"null	"
5115110185W22181400135,"null	"
5115110185W22181400136,"null	"
5115110185W22181400137,"181419419296292	"
5115110185W22181400138,"null	"
5115110185W22181400139,"null	"
5115110185W22181400140,"193514046892924	"
5115110185W22181400141,"null	"
5115110185W22181400142,"197912093420278	"
5115110185W22181400143,"189116000644850	"
5115110185W22181400144,"175921861094474	"
5115110185W22181400145,"null	"
5115110185W22181400146,"null	"
5115110185W22181400147,"null	"
5115110185W22181400148,"null	"
5115110185W22181400149,"182518930916970	"
5115110185W22181400150,"null	"
5115110185W22181400151,"null	"
5115110185W22181400152,"null	"
5115110185W22181400153,"177021372751827	"
5115110185W22181400154,"null	"
5115110185W22181400155,"null	"
5115110185W22181400156,"null	"
5115110185W22181400157,"null	"
5115110185W22181400158,"null	"
5115110185W22181400159,"197912093423890	"
5115110185W22181400160,"null	"
5115110185W22181400161,"182518930867779	"
5115110185W22181400162,"190215512246949	"
5115110185W22181400163,"null	"
5115110185W22181400164,"null	"
5115110185W22181400165,"194613558522414	"
5115110185W22181400166,"null	"
5115110185W22181400167,"189116000665468	"
5115110185W22181400168,"179220395955981	"
5115110185W22181400169,"null	"
5115110185W22181400170,"182518930888743	"
5115110185W22181400171,"null	"
5115110185W22181400172,"null	"
5115110185W22181400173,"null	"
5115110185W22181400174,"179220396026965	"
5115110185W22181400175,"null	"
5115110185W22181400176,"184717954164618	"
5115110185W22181400177,"null	"
5115110185W22181400178,"186916977381928	"
5115110185W22181400179,"181419419225093	"
5115110185W22181400180,"null	"
5115110185W22181400181,"195713070070213	"
5115110185W22181400182,"null	"
5115110185W22181400183,"null	"
5115110185W22181400184,"null	"
5115110185W22181400185,"null	"
5115110185W22181400186,"182518930861492	"
5115110185W22181400187,"193514046834170	"
5115110185W22181400188,"null	"
5115110185W22181400189,"null	"
5115110185W22181400190,"188016489013799	"
5115110185W22181400191,"null	"
5115110185W22181400192,"null	"
5115110185W22181400193,"null	"
5115110185W22181400194,"181419419246285	"
5115110185W22181400195,"null	"
5115110185W22181400196,"null	"
5115110185W22181400197,"193514046824842	"
5115110185W22181400198,"null	"
5115110185W22181400199,"null	"
5115110185W22181400200,"null	"
5115110185W22191400001,"null	"
5115110185W22191400002,"null	"
5115110185W22191400003,"null	"
5115110185W22191400004,"null	"
5115110185W22191400005,"null	"
5115110185W22191400006,"null	"
5115110185W22191400007,"null	"
5115110185W22191400008,"null	"
5115110185W22191400009,"null	"
5115110185W22191400010,"null	"
5115110185W22191400011,"null	"
5115110185W22191400012,"null	"
5115110185W22191400013,"null	"
5115110185W22191400014,"null	"
5115110185W22191400015,"null	"
5115110185W22191400016,"192414535489373	"
5115110185W22191400017,"null	"
5115110185W22191400018,"null	"
5115110185W22191400019,"null	"
5115110185W22191400020,"null	"
5115110185W22191400021,"null	"
5115110185W22191400022,"null	"
5115110185W22191400023,"null	"
5115110185W22191400024,"null	"
5115110185W22191400025,"null	"
5115110185W22191400026,"null	"
5115110185W22191400027,"null	"
5115110185W22191400028,"null	"
5115110185W22191400029,"null	"
5115110185W22191400030,"null	"
5115110185W22191400031,"null	"
5115110185W22191400032,"null	"
5115110185W22191400033,"null	"
5115110185W22191400034,"null	"
5115110185W22191400035,"null	"
5115110185W22191400036,"null	"
5115110185W22191400037,"null	"
5115110185W22191400038,"null	"
5115110185W22191400039,"null	"
5115110185W22191400040,"null	"
5115110185W22191400041,"null	"
5115110185W22191400042,"null	"
5115110185W22191400043,"null	"
5115110185W22191400044,"null	"
5115110185W22191400045,"null	"
5115110185W22191400046,"null	"
5115110185W22191400047,"null	"
5115110185W22191400048,"null	"
5115110185W22191400049,"null	"
5115110185W22191400050,"null	"
5115110185W22191400051,"null	"
5115110185W22191400052,"null	"
5115110185W22191400053,"null	"
5115110185W22191400054,"null	"
5115110185W22191400055,"null	"
5115110185W22191400056,"null	"
5115110185W22191400057,"null	"
5115110185W22191400058,"null	"
5115110185W22191400059,"186916977420260	"
5115110185W22191400060,"null	"
5115110185W22191400061,"null	"
5115110185W22191400062,"null	"
5115110185W22191400063,"null	"
5115110185W22191400064,"null	"
5115110185W22191400065,"null	"
5115110185W22191400066,"null	"
5115110185W22191400067,"null	"
5115110185W22191400068,"null	"
5115110185W22191400069,"null	"
5115110185W22191400070,"null	"
5115110185W22191400071,"null	"
5115110185W22191400072,"null	"
5115110185W22191400073,"null	"
5115110185W22191400074,"null	"
5115110185W22191400075,"null	"
5115110185W22191400076,"null	"
5115110185W22191400077,"null	"
5115110185W22191400078,"null	"
5115110185W22191400079,"195713070084468	"
5115110185W22191400080,"null	"
5115110185W22191400081,"null	"
5115110185W22191400083,"null	"
5115110185W22191400084,"null	"
5115110185W22191400085,"null	"
5115110185W22191400086,"null	"
5115110185W22191400087,"null	"
5115110185W22191400088,"null	"
5115110185W22191400089,"null	"
5115110185W22191400090,"null	"
5115110185W22191400091,"null	"
5115110185W22191400092,"null	"
5115110185W22191400093,"null	"
5115110185W22191400094,"null	"
5115110185W22191400095,"null	"
5115110185W22191400096,"null	"
5115110185W22191400097,"183618442502925	"
5115110185W22191400098,"null	"
5115110185W22191400099,"null	"
5115110185W22191400100,"null	"
5115110185W22191400101,"null	"
5115110185W22191400102,"null	"
5115110185W22191400103,"null	"
5115110185W22191400104,"null	"
5115110185W22191400105,"null	"
5115110185W22191400106,"null	"
5115110185W22191400107,"null	"
5115110185W22191400108,"null	"
5115110185W22191400109,"null	"
5115110185W22191400110,"null	"
5115110185W22191400111,"null	"
5115110185W22191400112,"null	"
5115110185W22191400113,"null	"
5115110185W22191400114,"null	"
5115110185W22191400115,"null	"
5115110185W22191400116,"null	"
5115110185W22191400117,"null	"
5115110185W22191400118,"null	"
5115110185W22191400119,"null	"
5115110185W22191400120,"null	"
5115110185W22191400121,"null	"
5115110185W22191400122,"null	"
5115110185W22191400123,"null	"
5115110185W22191400124,"null	"
5115110185W22191400125,"null	"
5115110185W22191400126,"null	"
5115110185W22191400127,"178120884346706	"
5115110185W22191400128,"null	"
5115110185W22191400129,"null	"
5115110185W22191400130,"null	"
5115110185W22191400131,"null	"
5115110185W22191400132,"null	"
5115110185W22191400133,"null	"
5115110185W22191400134,"null	"
5115110185W22191400135,"null	"
5115110185W22191400136,"null	"
5115110185W22191400137,"null	"
5115110185W22191400138,"190215512241594	"
5115110185W22191400139,"null	"
5115110185W22191400140,"null	"
5115110185W22191400141,"null	"
5115110185W22191400142,"null	"
5115110185W22191400143,"null	"
5115110185W22191400144,"null	"
5115110185W22191400145,"null	"
5115110185W22191400146,"null	"
5115110185W22191400147,"null	"
5115110185W22191400148,"null	"
5115110185W22191400149,"null	"
5115110185W22191400150,"null	"
5115110185W22191400151,"null	"
5115110185W22191400152,"null	"
5115110185W22191400153,"null	"
5115110185W22191400154,"null	"
5115110185W22191400155,"185817465835003	"
5115110185W22191400156,"186916977414184	"
5115110185W22191400157,"null	"
5115110185W22191400158,"null	"
5115110185W22191400159,"null	"
5115110185W22191400160,"null	"
5115110185W22191400161,"null	"
5115110185W22191400162,"null	"
5115110185W22191400163,"null	"
5115110185W22191400164,"null	"
5115110185W22191400165,"null	"
5115110185W22191400166,"null	"
5115110185W22191400167,"null	"
5115110185W22191400168,"null	"
5115110185W22191400169,"null	"
5115110185W22191400170,"null	"
5115110185W22191400171,"null	"
5115110185W22191400172,"192414535548439	"
5115110185W22191400173,"null	"
5115110185W22191400174,"null	"
5115110185W22191400175,"null	"
5115110185W22191400176,"null	"
5115110185W22191400177,"null	"
5115110185W22191400178,"null	"
5115110185W22191400179,"null	"
5115110185W22191400180,"null	"
5115110185W22191400181,"null	"
5115110185W22191400182,"null	"
5115110185W22191400183,"null	"
5115110185W22191400184,"null	"
5115110185W22191400185,"null	"
5115110185W22191400186,"178120884416670	"
5115110185W22191400187,"null	"
5115110185W22191400188,"null	"
5115110185W22191400189,"null	"
5115110185W22191400190,"null	"
5115110185W22191400191,"null	"
5115110185W22191400192,"null	"
5115110185W22191400193,"null	"
5115110185W22191400194,"null	"
5115110185W22191400195,"null	"
5115110185W22191400196,"null	"
5115110185W22191400197,"194613558501103	"
5115110185W22191400198,"null	"
5115110185W22191400199,"null	"
5115110185W22191400200,"null	"
5115110185W22191400201,"null	"
5115110185W22191400202,"null	"
5115110185W22191400203,"null	"
5115110185W22191400204,"null	"
5115110185W22191400205,"null	"
5115110185W22191400206,"null	"
5115110185W22191400207,"null	"
5115110185W22191400208,"null	"
5115110185W22191400209,"null	"
5115110185W22191400210,"null	"
5115110185W22191400211,"null	"
5115110185W22191400212,"null	"
5115110185W22191400213,"null	"
5115110185W22191400214,"null	"
5115110185W22191400215,"null	"
5115110185W22191400216,"null	"
5115110185W22191400217,"null	"
5115110185W22191400218,"null	"
5115110185W22191400219,"null	"
5115110185W22191400220,"null	"
5115110185W22191400221,"null	"
5115110185W22191400222,"null	"
5115110185W22191400223,"null	"
5115110185W22191400224,"null	"
5115110185W22191400225,"190215512255492	"
5115110185W22191400226,"null	"
5115110185W22191400227,"null	"
5115110185W22191400228,"null	"
5115110185W22191400229,"null	"
5115110185W22191400230,"null	"
5115110185W22191400231,"177021372763518	"
5115110185W22191400232,"177021372784850	"
5115110185W22191400233,"null	"
5115110185W22191400234,"null	"
5115110185W22191400235,"null	"
5115110185W22191400236,"null	"
5115110185W22191400237,"null	"
5115110185W22191400238,"196812581736122	"
5115110185W22191400239,"null	"
5115110185W22191400240,"null	"
5115110185W22191400241,"null	"
5115110185W22191400242,"182518930917212	"
5115110185W22191400243,"181419419217105	"
5115110185W22191400244,"183618442560430	"
5115110185W22191400245,"null	"
5115110185W22191400246,"193514046812757	"
5115110185W22191400247,"192414535473664	"
5115110185W22191400248,"null	"
5115110185W22191400249,"null	"
5115110185W22191400250,"183618442476780	"
5115110185W22191400251,"null	"
5115110185W22191400252,"null	"
5115110185W22191400253,"null	"
5115110185W22191400254,"null	"
5115110185W22191400255,"186916977460774	"
5115110185W22191400256,"null	"
5115110185W22191400257,"186916977373180	"
5115110185W22191400258,"175921861141161	"
5115110185W22191400259,"null	"
5115110185W22191400260,"null	"
5115110185W22191400261,"null	"
5115110185W22191400262,"189116000579695	"
5115110185W22191400263,"null	"
5115110185W22191400264,"null	"
5115110185W22191400265,"null	"
5115110185W22191400266,"null	"
5115110185W22191400267,"null	"
5115110185W22191400268,"null	"
5115110185W22191400269,"null	"
5115110185W22191400270,"null	"
5115110185W22191400271,"null	"
5115110185W22191400272,"null	"
5115110185W22191400273,"null	"
5115110185W22191400274,"196812581744659	"
5115110185W22191400275,"null	"
5115110185W22191400276,"null	"
5115110185W22191400277,"195713070104538	"
5115110185W22191400278,"185817465738524	"
5115110185W22191400279,"null	"
5115110185W22191400280,"null	"
5115110185W22191400281,"null	"
5115110185W22191400282,"null	"
5115110185W22191400283,"186916977412089	"
5115110185W22191400284,"null	"
5115110185W22191400285,"null	"
5115110185W22191400286,"null	"
5115110185W22191400287,"182518930894915	"
5115110185W22191400288,"null	"
5115110185W22191400289,"null	"
5115110185W22191400290,"null	"
5115110185W22191400291,"null	"
5115110185W22191400292,"null	"
5115110185W22191400293,"null	"
5115110185W22191400294,"null	"
5115110185W22191400295,"null	"
5115110185W22191400296,"null	"
5115110185W22191400297,"null	"
5115110185W22191400298,"null	"
5115110185W22191400300,"null	"
5115110185W22191400301,"null	"
5115110185W22191400302,"null	"
5115110185W22191400303,"null	"
5115110185W22191400304,"null	"
5115110185W22191400305,"null	"
5115110185W22191400306,"null	"
5115110185W22191400307,"null	"
5115110185W22191400308,"null	"
5115110185W22191400309,"177021372760356	"
5115110185W22191400310,"180319907651006	"
5115110185W22191400311,"null	"
5115110185W22191400312,"190215512208313	"
5115110185W22191400313,"null	"
5115110185W22191400314,"null	"
5115110185W22191400315,"null	"
5115110185W22191400316,"null	"
5115110185W22191400317,"177021372721922	"
5115110185W22191400318,"null	"
5115110185W22191400319,"null	"
5115110185W22191400320,"null	"
5115110185W22191400321,"null	"
5115110185W22191400322,"null	"
5115110185W22191400323,"null	"
5115110185W22191400324,"null	"
5115110185W22191400325,"null	"
5115110185W22191400326,"null	"
5115110185W22191400327,"null	"
5115110185W22191400328,"null	"
5115110185W22191400329,"null	"
5115110185W22191400330,"null	"
5115110185W22191400331,"null	"
5115110185W22191400332,"null	"
5115110185W22191400333,"null	"
5115110185W22191400334,"null	"
5115110185W22191400335,"null	"
5115110185W22191400336,"null	"
5115110185W22191400337,"null	"
5115110185W22191400338,"null	"
5115110185W22191400339,"null	"
5115110185W22191400340,"null	"
5115110185W22191400341,"null	"
5115110185W22191400342,"null	"
5115110185W22191400343,"null	"
5115110185W22191400344,"null	"
5115110185W22191400345,"null	"
5115110185W22191400346,"null	"
5115110185W22191400347,"null	"
5115110185W22191400348,"null	"
5115110185W22191400349,"null	"
5115110185W22191400350,"null	"
5115110185W22191400351,"182518930852522	"
5115110185W22191400352,"null	"
5115110185W22191400353,"null	"
5115110185W22191400354,"null	"
5115110185W22191400355,"null	"
5115110185W22191400356,"null	"
5115110185W22191400357,"null	"
5115110185W22191400358,"null	"
5115110185W22191400359,"null	"
5115110185W22191400360,"null	"
5115110185W22191400361,"null	"
5115110185W22191400362,"null	"
5115110185W22191400363,"null	"
5115110185W22191400364,"null	"
5115110185W22191400365,"null	"
5115110185W22191400366,"null	"
5115110185W22191400367,"null	"
5115110185W22191400368,"null	"
5115110185W22191400369,"null	"
5115110185W22191400370,"null	"
5115110185W22191400371,"null	"
5115110185W22191400372,"null	"
5115110185W22191400373,"null	"
5115110185W22191400374,"null	"
5115110185W22191400375,"null	"
5115110185W22191400376,"null	"
5115110185W22191400377,"null	"
5115110185W22191400378,"null	"
5115110185W22191400379,"null	"
5115110185W22191400380,"null	"
5115110185W22191400381,"null	"
5115110185W22191400382,"null	"
5115110185W22191400383,"null	"
5115110185W22191400384,"null	"
5115110185W22191400385,"null	"
5115110185W22191400386,"null	"
5115110185W22191400387,"null	"
5115110185W22191400388,"null	"
5115110185W22191400389,"null	"
5115110185W22191400390,"null	"
5115110185W22191400391,"197912093383929	"
5115110185W22191400392,"null	"
5115110185W22191400393,"null	"
5115110185W22191400394,"null	"
5115110185W22191400395,"null	"
5115110185W22191400396,"null	"
5115110185W22191400397,"null	"
5115110185W22191400398,"null	"
5115110185W22191400399,"null	"
5115110185W22191400400,"null	"
5115110185W22191400401,"null	"
5115110185W22191400402,"null	"
5115110185W22191400403,"195713070077481	"
5115110185W22191400404,"null	"
5115110185W22191400405,"null	"
5115110185W22191400406,"177021372707034	"
5115110185W22191400407,"null	"
5115110185W22191400408,"178120884363170	"
5115110185W22191400409,"177021372732581	"
5115110185W22191400410,"null	"
5115110185W22191400411,"null	"
5115110185W22191400412,"null	"
5115110185W22191400413,"null	"
5115110185W22191400414,"null	"
5115110185W22191400415,"189116000613436	"
5115110185W22191400416,"null	"
5115110185W22191400417,"null	"
5115110185W22191400418,"null	"
5115110185W22191400419,"186916977463593	"
5115110185W22191400420,"180319907631718	"
5115110185W22191400421,"null	"
5115110185W22191400422,"null	"
5115110185W22191400423,"190215512265950	"
5115110185W22191400424,"null	"
5115110185W22191400425,"null	"
5115110185W22191400426,"null	"
5115110185W22191400427,"null	"
5115110185W22191400428,"null	"
5115110185W22191400429,"null	"
5115110185W22191400430,"null	"
5115110185W22191400431,"null	"
5115110185W22191400432,"null	"
5115110185W22191400433,"null	"
5115110185W22191400434,"183618442566715	"
5115110185W22191400435,"null	"
5115110185W22191400436,"null	"
5115110185W22191400437,"null	"
5115110185W22191400438,"null	"
5115110185W22191400439,"null	"
5115110185W22191400440,"null	"
5115110185W22191400441,"null	"
5115110185W22191400442,"179220395979419	"
5115110185W22191400443,"null	"
5115110185W22191400444,"null	"
5115110185W22191400445,"null	"
5115110185W22191400446,"null	"
5115110185W22191400447,"197912093460416	"
5115110185W22191400448,"180319907665113	"
5115110185W22191400449,"null	"
5115110185W22191400450,"196812581782204	"
5115110185W22191400451,"null	"
5115110185W22191400452,"186916977442623	"
5115110185W22191400453,"179220396024395	"
5115110185W22191400454,"null	"
5115110185W22191400455,"null	"
5115110185W22191400456,"null	"
5115110185W22191400457,"null	"
5115110185W22191400458,"null	"
5115110185W22191400459,"null	"
5115110185W22191400460,"null	"
5115110185W22191400461,"null	"
5115110185W22191400462,"null	"
5115110185W22191400463,"null	"
5115110185W22191400464,"189116000650561	"
5115110185W22191400465,"null	"
5115110185W22191400466,"null	"
